source,line,alarm_key,message,classification,alarm_occurrences,alarm_occurrences_linked_to_stop,alarm_occurrence_stop_association_pct,attributed_zone_stops,attributed_zone_stop_minutes,average_zone_stop_minutes,same_zone_pct,average_alarm_to_stop_seconds,average_confidence_score
FLEX,TAM31,[04G3_K002]Program:EM0442_Tower2_Extraction.ALMD_Ext_Flow_NotDetected,EM0442 Tower #2 Extraction flow not detect,ROOT_CAUSE_CANDIDATE,153,6,3.922,11,803,73,0,27.75,2
3GT,TAM02,P3_619PHS_MISS,Z6  : 619PHS Array missing (Check jam or sensor),STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,151,26,17.219,44,802,18.23,31.82,109.09,2.64
3GT,TAM23,L23_P4_Camera3.Alarm_09,Camera3 Cognex Field value mismatch,LONG_DURATION,27,1,3.704,6,802,133.67,0,107.04,1
FLEX,TAM26,[00G3_K002]Program:EM02G4_Operator_Interface.ALMD_S002PBL_Actuated,EM02G4 S002PBL ZONE STOP #2,STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE|LONG_DURATION,118,15,12.712,25,792,31.68,0,65.61,2.68
3GT,TAM20,PSS1_FB_ERR5_3,PSS1: 209GLS-1 Guard Lock SOL Feedback Error,DOOR_OR_GUARD|GUARD_SYSTEM_FAULT|ROOT_CAUSE_CANDIDATE|LONG_DURATION,156,14,8.974,35,791,22.6,0,44.97,1.91
3GT,TAM20,P2_ALI3_NOT_RDY,Z5B: ALI System not ready,STOP_ALARM_CANDIDATE|CASCADE_SYMPTOM_CANDIDATE,457,70,15.317,71,789,11.11,84.51,3.05,2.49
3GT,TAM10,P1_305PRS_FAIL,Z3  : 305PRS Sensor fail,UNCLASSIFIED,32,5,15.625,11,787,71.55,54.55,119.46,1.55
3GT,TAM23,L23_P4_0853PHS.Alarm1,Z08 : 853PHS Carton missing (Check jam or sensor),STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,113,28,24.779,56,785,14.02,0,89.14,2.55
3GT,TAM10,P0_DRV_COM_TOUT,PLC0: IMM Door open or sensor fail,DOOR_OR_GUARD|POSSIBLE_OPERATOR_ACCESS_LEGACY|STOP_ALARM_CANDIDATE,213,39,18.31,84,779,9.27,0,142.42,2.39
3GT,TAM21,L21_P2_Z04B_Alarm.Zstop_Z05B_Adj,Z04B : Zone05B Adjacent Zone Stop,STOP_ALARM_CANDIDATE|CASCADE_SYMPTOM_CANDIDATE,243,30,12.346,43,778,18.09,9.3,45.16,1.95
3GT,TAM02,P2_514LS_OPENED,Z5B : Foil transfer unit opened,ROOT_CAUSE_CANDIDATE|LONG_DURATION,51,10,19.608,24,778,32.42,29.17,31.43,2.17
3GT,TAM01,P1_SHINGLE_DET2,Z4  : FC shingle detect at 411PHS_2,ROOT_CAUSE_CANDIDATE,158,11,6.962,18,771,42.83,11.11,101.45,1.83
3GT,TAM18,P3_807PHS5_MISS,Z8  : 807PHS-5 Array missing (Check jam or sensor),STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,175,15,8.571,25,770,30.8,0,79.86,2.56
3GT,TAM05,P0_20PS_ERROR,Z2A : 20PS Air pressure Low,CASCADE_SYMPTOM_CANDIDATE|LONG_DURATION,370,63,17.027,79,760,9.62,77.22,36.1,1.77
3GT,TAM18,P1_CMD_TR,Z3  : CMD Top Right (303CL),ROOT_CAUSE_CANDIDATE,235,21,8.936,38,755,19.87,60.53,149.89,2.11
FLEX,TAM31,[00G3_K042]Program:UN05_Standard.ALMD_05G6_B005GLS,Z05 Guard Door Open =05G6_B005GLS,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE|CASCADE_SYMPTOM_CANDIDATE,738,29,3.93,41,754,18.39,53.66,49.41,2.54
FLEX,TAM28,[04G3_K002]Program:EM0422_Tower1_Extraction.ALMD_Ext_RedoseFail_ALM,EM0422 Tower #1 Extraction redose fail (consecutive 20 Times),ROOT_CAUSE_CANDIDATE,60,9,15,12,752,62.67,0,16.37,1.83
3GT,TAM18,P1_CMD_TL,Z3  : CMD Top Left (304CL),ROOT_CAUSE_CANDIDATE,212,17,8.019,37,748,20.22,70.27,141.71,2.24
FLEX,TAM24,[00G3_K042]Program:UN03_Standard.ALMD_03G6_B001GLS,Z03 Guard Door Open =03G6_B001GLS,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE|CASCADE_SYMPTOM_CANDIDATE,349,17,4.871,37,744,20.11,83.78,146.36,2.84
FLEX,TAM28,[09G3_K002]Program:EM09G4_Operator_Interface.ALMD_S002PBL_Actuated,EM09G4 S002PBL Zone Stop,STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,108,9,8.333,16,743,46.44,0,55.53,2.81
3GT,TAM05,P2_MRSVACRelief_Fail,Z5B: MRS Vacuum Relief Failed - 581SV,CASCADE_SYMPTOM_CANDIDATE,1929,48,2.488,55,742,13.49,63.64,9.49,1.45
3GT,TAM21,L21_P3_Z05B_Warning.DI_Seal_Prss_NoinRange,Z05B : DI Seal Pressure not inrange,WARNING|CASCADE_SYMPTOM_CANDIDATE,5473,37,0.676,40,738,18.45,82.5,51.69,1.68
3GT,TAM01,P3_1019PHSUKNOW,Z10 : 1019PHS Carton jam (Remove carton),STOP_ALARM_CANDIDATE|CASCADE_SYMPTOM_CANDIDATE,522,18,3.448,35,737,21.06,0,96.34,1.66
FLEX,TAM28,[00G3_K002]Program:EM0200_Zone.ALMD_IncompleteCycleStop,EM0200 Z02 Incomplete cycle stop,STOP_ALARM_CANDIDATE,44,7,15.909,12,727,60.58,41.67,94.87,2.42
3GT,TAM10,P3_864PHS_MISS,Z8  : 864PHS Carton missing (Check jam or sensor),STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,379,25,6.596,51,725,14.22,0,93.13,2.61
